City,"Temperature (2050s)","Precipitation (2050s)","Sea Level Rise (2050s)"
Oujda,+0.9 to 2.7°C,-28 to -2%
Paris,+1.7 to 3.9°C,1 to +14%
Paveh,+1.8 to 4°C,-3 to +11%
Peshawar,+1.4 to 2.9°C,-2 to +49%
Philadelphia,+1.3 to 2.4°C,-9 to +11%
Phitsanulok,+1.1 to 2.1°C,0 to +15%
Portmore,+1.2 to 2.5°C,-11 to +12%,+14 to 57 cm
Quito,+1.9 to 3.6°C,-12 to +11%
Rawalpindi,+1.4 to 3°C,-5 to +11%
Rio de Janeiro,+2.1 to 4.2°C,2 to +12%,+15 to 56 cm
Rome,+1.1 to 2.3°C,-19 to +16%
Rotterdam,+1.7 to 3.4°C,-14 to +7%,+18 to 70 cm
San Diego,+1.4 to 3.6°C,-10 to +8%,+14 to 56 cm
"San Francisco, CA",+1.4 to 3.9°C,-5 to +11%,+14 to 56 cm
San Jose,+1.5 to 3.9°C,-3 to +13%
Santa Fe,+1.7 to 3.5°C,1 to +14%
Santiago,+2 to 3.9°C,0 to +14%
Santo Domingo,+1.5 to 3.3°C,-3 to +10%,+14 to 56 cm
Sao Paulo,+1.7 to 3.6°C,-32 to +58%
Seattle,+1.7 to 3.6°C,1 to +13%,+14 to 56 cm
Semarang,+1.5 to 3.1°C,-7 to +47%,+14 to 58 cm
Seoul,+1.1 to 2.2°C,-23 to +2%
Shanghai,+1.2 to 2.6°C,-20 to +18%,+13 to 59 cm
Shenzhen,+1.4 to 3.9°C,5 to +19%,+15 to 60 cm
Shimla,+1.3 to 3.5°C,-3 to +13%
Singapore,+1.7 to 3.5°C,-17 to +6%,+15 to 58 cm
Sintra,+1.7 to 3.6°C,0 to +13%,+15 to 61 cm
"Somerville, MA",+1.4 to 3°C,-5 to +9%
"St. Peters, MO",+1.2 to 2.9°C,-13 to +13%
Surat,+1.2 to 3.2°C,-3 to +13%,+15 to 58 cm
Sydney,+1.3 to 3.5°C,-1 to +14%,+16 to 64 cm
Tacloban,+1.1 to 3°C,-15 to -2%,+14 to 61 cm
Tangerang Seltan,+1.4 to 3.5°C,-14 to +4%,+14 to 57 cm
Tehran,+1.1 to 2.9°C,-2 to +13%
Tempe,+0.9 to 2.8°C,-1 to +10%
Tokyo,+1.7 to 3.7°C,1 to +13%,+13 to 65 cm
Toronto,+1.6 to 3.4°C,-3 to +12%
Townsville,+1.8 to 3.8°C,-8 to +9%,+16 to 58 cm
Trondheim,+1.4 to 3°C,-2 to +11%,+17 to 70 cm
Tsukuba,+2 to 4.4°C,2 to +15%
Tucson,+1.6 to 3.5°C,-29 to -5%
Udon Thani,+1.9 to 3.9°C,-22 to +9%
Venice,+1 to 2.7°C,-4 to +9%,+15 to 56 cm
Victoria,+1.4 to 3.4°C,-1 to +10%,+14 to 56 cm
Vienna,+1.4 to 2.8°C,-7 to +13%
Warsaw,+1.3 to 2.8°C,-3 to +16%
"Washington, D.C.",+1.2 to 2.9°C,2 to +13%
Waterloo,+2.1 to 4.2°C,1 to +15%
White Plains,+0.8 to 2.8°C,0 to +13%
Windsor,+1.3 to 2.7°C,-20 to +11%,
